id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea
1512,380,1950.0,70.9137496948,70.875,-84.9012451172,-84.875,18.0,76,2352286464.0
1513,383,1950.0,70.9387512207,70.875,-84.7579116821,-84.125,18.0,76,2352286464.0
1549,987,4359.0,70.96875,70.875,66.8529205322,66.875,17.0,76,3089737984.0
1554,1032,3900.0,70.9287490845,70.875,78.1362533569,78.125,18.0,76,2000269184.0
1555,1033,0.0,70.9312515259,70.875,78.4037475586,78.375,36.0,76,5551295488.0
1556,1034,1950.0,70.8870849609,70.875,78.3662490845,78.625,36.0,76,5551295488.0
1564,1245,2759.0,70.7879180908,70.875,131.422912598,131.375,21.0,76,4373650432.0
1566,1248,3898.0,71.0637512207,70.875,131.767913818,132.125,79.0,76,38375641088.0
1567,1327,1950.0,70.9470825195,70.875,151.881256104,151.875,20.0,76,7883482624.0
1569,1329,1951.0,70.8362503052,70.875,152.378753662,152.375,10.0,76,1291095808.0
1570,1331,1951.0,70.8187484741,70.875,152.883758545,152.875,20.0,76,8233800704.0
1571,1333,3902.0,70.8279190063,70.875,153.285415649,153.375,10.0,76,3478942976.0
1573,1335,2759.0,70.8595809937,70.875,153.852081299,153.875,119.0,76,66534326272.0
1584,81,0.0,70.7387466431,70.625,-159.286254883,-159.625,10.0,77,1201230592.0
1585,82,0.0,70.5120849609,70.625,-159.460418701,-159.375,10.0,77,1201230592.0
1608,269,1953.0,70.5720825195,70.625,-112.647079468,-112.625,12.0,77,2762897152.0
1609,271,2763.0,70.5420837402,70.625,-112.400413513,-112.125,12.0,77,2699039232.0
1618,337,5861.0,70.5337524414,70.625,-95.7462463379,-95.625,10.0,77,1234011520.0
1619,349,0.0,70.6779174805,70.625,-92.6429138184,-92.625,10.0,77,2350279424.0
1629,427,0.0,70.6287536621,70.625,-72.6229171753,-73.125,11.0,77,2674155264.0
1630,429,0.0,70.6145858765,70.625,-72.5420837402,-72.625,11.0,77,2674155264.0
1641,444,0.0,70.7004165649,70.625,-68.9779129028,-68.875,10.0,77,1928358784.0
1670,941,0.0,70.6987457275,70.625,55.3362503052,55.375,10.0,77,1366332032.0
1679,989,6173.0,70.7129135132,70.625,67.3945846558,67.375,19.0,77,3010190336.0
1684,1048,0.0,70.5970840454,70.625,82.1987533569,82.125,13.0,77,1213435520.0
1690,1357,1952.0,70.7279205322,70.625,159.461242676,159.375,10.0,77,2218193152.0
1694,79,0.0,70.3220825195,70.375,-160.131256104,-160.125,10.0,78,1543154432.0
1695,80,0.0,70.3179168701,70.375,-159.881256104,-159.875,19.0,78,7047697920.0
1696,110,0.0,70.4379196167,70.375,-151.97958374,-152.375,10.0,78,3622667008.0
1697,114,2765.0,70.3637466431,70.375,-151.28125,-151.375,10.0,78,4397912576.0
1700,118,1955.0,70.4129180908,70.375,-150.433746338,-150.375,142.0,78,59370856448.0
1704,124,5866.0,70.3812484741,70.375,-148.962921143,-148.875,22.0,78,9026812928.0
1716,265,0.0,70.2662506104,70.375,-113.607086182,-113.625,10.0,78,1011220928.0
1722,274,4375.0,70.279586792,70.375,-111.412918091,-111.375,24.0,78,9296824320.0
1729,347,0.0,70.2495803833,70.375,-92.3329162598,-93.125,13.0,78,3539126784.0
1741,387,1956.0,70.3187484741,70.375,-83.033744812,-83.125,49.0,78,8800875520.0
1743,401,3909.0,70.4787521362,70.375,-79.5529174805,-79.625,63.0,78,15195484160.0
1746,405,6182.0,70.4212493896,70.375,-78.6279144287,-78.625,14.0,78,1869457280.0
1749,408,2767.0,70.2620849609,70.375,-77.7587509155,-77.875,25.0,78,4665629696.0
1750,409,2767.0,70.2670822144,70.375,-77.8387451172,-77.625,25.0,78,4665629696.0
1751,431,0.0,70.4187469482,70.375,-71.9620819092,-72.125,13.0,78,1936100736.0
1752,432,0.0,70.3029174805,70.375,-71.7504119873,-71.875,13.0,78,1936100736.0
1766,817,0.0,70.4737472534,70.375,24.2837505341,24.375,10.0,78,1206050688.0
1774,833,0.0,70.4279174805,70.375,28.2587509155,28.375,88.0,78,18720143360.0
1775,835,0.0,70.4454193115,70.375,28.4929180145,28.875,88.0,78,18720143360.0
1781,989,7049.0,70.4245834351,70.375,67.3170852661,67.375,39.0,78,7827861504.0
1782,1009,7825.0,70.2912521362,70.375,72.3729171753,72.375,14.0,78,1753630080.0
1786,1047,0.0,70.5479125977,70.375,82.1045837402,81.875,13.0,78,1213435520.0
1793,1054,0.0,70.3479156494,70.375,83.5495834351,83.625,39.0,78,4274931712.0
1797,70,1958.0,70.0737533569,70.125,-162.34375,-162.375,24.0,79,7477776384.0
1801,128,2767.0,70.2320861816,70.125,-147.831253052,-147.875,31.0,79,13283323904.0
1802,129,1957.0,70.1987533569,70.125,-147.648742676,-147.625,10.0,79,1528853248.0
1803,130,1957.0,70.1770858765,70.125,-147.323745728,-147.375,10.0,79,4167618048.0
1808,135,1957.0,70.1479187012,70.125,-146.015411377,-146.125,10.0,79,5309511680.0
1809,137,1958.0,70.0537490845,70.125,-145.58291626,-145.625,10.0,79,1383265920.0
1811,142,1959.0,70.0237503052,70.125,-144.403747559,-144.375,10.0,79,1858768256.0
1812,143,0.0,70.0279159546,70.125,-144.03125,-144.125,10.0,79,3184898560.0
1815,146,1958.0,70.0979156494,70.125,-143.294586182,-143.375,10.0,79,2413693184.0
1833,268,0.0,70.2312469482,70.125,-112.986251831,-112.875,10.0,79,2300255488.0
1834,271,2768.0,70.1962509155,70.125,-112.502914429,-112.125,10.0,79,2191631360.0
1835,272,3913.0,70.2420806885,70.125,-112.290420532,-111.875,10.0,79,1911662592.0
1842,350,0.0,70.1462478638,70.125,-92.4220809937,-92.375,13.0,79,3539126784.0
1860,393,0.0,70.1420822144,70.125,-81.7254180908,-81.625,18.0,79,2333082112.0
1866,401,2765.0,70.3670806885,70.125,-79.595413208,-79.625,63.0,79,15195484160.0
1867,402,0.0,70.3870849609,70.125,-79.5062484741,-79.375,63.0,79,15195484160.0
1871,433,0.0,70.0412521362,70.125,-71.5212478638,-71.625,10.0,79,1238025088.0
1894,817,0.0,70.1837463379,70.125,24.9537506104,24.375,12.0,79,1601310976.0
1895,819,0.0,70.0754165649,70.125,24.9629173279,24.875,12.0,79,1601310976.0
1913,1010,5537.0,70.1662521362,70.125,72.5437469482,72.625,24.0,79,3757646848.0
1920,1359,0.0,70.1062469482,70.125,159.966247559,159.875,42.0,79,17590329344.0
1928,68,0.0,69.7629165649,69.875,-162.998748779,-162.875,21.0,80,5941374464.0
1933,142,0.0,70.0345840454,69.875,-144.18208313,-144.375,10.0,80,3184898560.0
1935,149,1960.0,69.8395843506,69.875,-142.152923584,-142.625,10.0,80,1708510208.0
1937,151,1961.0,69.8112487793,69.875,-142.05708313,-142.125,10.0,80,1708510208.0
1938,152,1961.0,69.7904205322,69.875,-141.912918091,-141.875,10.0,80,3835072512.0
1975,335,5879.0,69.9254150391,69.875,-96.0429153442,-96.125,10.0,80,1046100608.0
1979,349,0.0,70.0587463379,69.875,-92.4637451172,-92.625,13.0,80,3539126784.0
2000,412,5878.0,69.9895858765,69.875,-76.9829177856,-76.875,28.0,80,8875334656.0
2002,438,0.0,69.8462524414,69.875,-70.4587478638,-70.375,19.0,80,2430608128.0
2018,803,1961.0,69.782913208,69.875,20.9945831299,20.875,26.0,80,2653976320.0
2024,813,0.0,69.9729156494,69.875,23.3862514496,23.375,45.0,80,7539837440.0
2057,1359,0.0,69.7837524414,69.875,159.837081909,159.875,26.0,80,7994994688.0
2065,1412,0.0,69.8537521362,69.875,173.176254272,173.125,20.0,80,5331595776.0
2069,1416,3921.0,69.842918396,69.875,174.013748169,174.125,61.0,80,20478869504.0
2077,67,0.0,69.6245803833,69.625,-163.037918091,-163.125,23.0,81,5793645056.0
2079,154,0.0,69.7129135132,69.625,-141.510421753,-141.375,10.0,81,3331190784.0
2086,161,1963.0,69.5487518311,69.625,-139.612915039,-139.625,10.0,81,1014782272.0
2087,162,1963.0,69.5454177856,69.625,-139.477920532,-139.375,15.0,81,6160247296.0
2102,204,6205.0,69.6670837402,69.625,-128.870422363,-128.875,119.0,81,62504198144.0
2109,236,0.0,69.6520843506,69.625,-120.930419922,-120.875,10.0,81,2285582592.0
2111,252,1962.0,69.6387481689,69.625,-116.822914124,-116.875,12.0,81,4801377792.0
2113,264,0.0,69.2962493896,69.625,-114.306243896,-113.875,10.0,81,1513725952.0
2114,305,2775.0,69.6795806885,69.625,-103.507080078,-103.625,10.0,81,1644867968.0
2115,306,1962.0,69.7120819092,69.625,-103.295417786,-103.375,11.0,81,3392233984.0
2133,341,0.0,69.6804199219,69.625,-94.7470779419,-94.625,10.0,81,1373381120.0
2143,387,0.0,69.5345840454,69.625,-83.2379150391,-83.125,12.0,81,1366981504.0
2157,439,0.0,69.5237503052,69.625,-70.0229110718,-70.125,15.0,81,1764985344.0
2179,837,1962.0,69.6987457275,69.625,29.483751297,29.375,21.0,81,2987228160.0
2181,840,3924.0,69.6787490845,69.625,30.1120834351,30.125,79.0,81,15901224960.0
2183,845,5553.0,69.5770797729,69.625,31.2604179382,31.375,17.0,81,2031478144.0
2185,848,1963.0,69.5470809937,69.625,32.0329170227,32.125,13.0,81,1366156544.0
2194,962,5888.0,69.6187515259,69.625,60.6679153442,60.625,18.0,81,2918360832.0
2197,969,2774.0,69.7129135132,69.625,62.7145843506,62.375,10.0,81,1011492096.0
2198,971,3924.0,69.6679153442,69.625,62.9745826721,62.875,10.0,81,1151078528.0
2208,992,6210.0,69.5179138184,69.625,68.157081604,68.125,11.0,81,1477353984.0
