index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn
159,394,0.000000,73.625000,-124.125000,39,10709.168945,-124.101600,73.671880,11671,6266,diva_id__5798,-124.051254,73.567917,0.024000,-124.051254,73.567917,2.000000,0.000000
162,9152,0.000000,44.375000,-124.125000,15,1201.597412,-124.043000,44.635420,21786,408,south_beach,-124.047913,44.439583,0.422000,-124.047913,44.439583,2.000000,0.000000
163,9222,0.000000,44.125000,-124.125000,17,2007.020996,-124.160200,43.802080,23738,4884,diva_id__4416,-124.132919,44.014584,0.440000,-124.132919,44.014584,2.000000,0.000000
164,9350,0.000000,43.625000,-124.125000,50,12076.183594,-124.160200,43.802080,11788,4884,diva_id__4416,-124.167915,43.696251,0.440000,-124.167915,43.696251,2.000000,0.000000
165,9433,0.000000,43.375000,-124.125000,10,1133.552612,-124.248000,43.463540,11205,4885,diva_id__4417,-124.182915,43.374580,0.443000,-124.182915,43.374580,2.000000,0.000000
166,9881,0.000000,41.875000,-124.125000,13,1871.212158,-124.160200,41.744790,21189,81,crescent_city,-124.200417,41.932915,0.433000,-124.200417,41.932915,2.000000,0.000000
167,9952,4631.611630,41.625000,-124.125000,88,31163.441406,-124.130900,41.536460,7615,16372,deltas_077,-124.041252,41.522919,0.433000,-124.041252,41.522919,2.491589,0.000000
168,10161,0.000000,40.875000,-124.125000,12,1295.634888,-124.189500,40.807290,15487,4891,diva_id__4423,-124.132080,40.939583,0.447000,-124.132080,40.939583,2.000000,0.000000
170,8293,2244.250854,46.875000,-123.875000,48,5173.699219,-124.130900,46.901040,26278,4874,diva_id__4406,-123.802086,46.974583,0.409000,-123.802086,46.974583,2.000000,0.000000
171,8707,0.000000,45.625000,-123.875000,25,2206.191406,-124.043000,45.781250,15831,4876,diva_id__4408,-123.941254,45.657917,0.416000,-123.941254,45.657917,2.000000,0.000000
173,7851,0.000000,48.875000,-123.625000,11,1245.047974,-123.603500,48.880210,13732,6392,diva_id__5924,-123.637085,48.758751,0.448000,-123.637085,48.758751,2.000000,0.000000
