rivmth_id,lat,lon,rivwth,uparea,dist2coast,q_mean,couple_id,gtsm_egm_offset,surge_std,tidal_range
7440,50.68041611,-3.467082977,10,1249575552.0,0,14.673621,1536,0.016,0.14271347672742868,3.0184171
7446,50.7195816,-1.742082596,10,2992806912.0,0,23.79271,1570,0.036000000000000004,0.1677132830745716,1.4493804
7449,50.53374863,1.607084274,10,1412957952.0,0,11.730452,1622,0.055999999999999994,0.24406958525971592,6.817873
7468,50.38624954,-125.94791409999998,17,1364937344.0,0,65.774025,141,0.43,0.11933847612274552,3.6755192
7473,50.49458313,-124.36291499999999,29,1737599488.0,0,94.08502,152,0.428,0.14004712726734106,2.673142
7494,50.30208206,-65.24041748,31,2661889024.0,0,61.427044,1062,-0.175,0.1337294305927386,1.9519274
7495,50.28291702,-64.9070816,16,1158826496.0,0,26.81524,1068,-0.175,0.1337294305927386,1.9519274
7496,50.27708435,-64.78125,16,1158826496.0,0,15.859227,1070,-0.175,0.1337294305927386,1.9519274
7497,50.31958389,-64.45791626,61,7623346176.0,0,166.90968,1078,-0.175,0.1337294305927386,1.9519274
7498,50.3045845,-64.00208282,23,2288334848.0,0,51.15691,1081,-0.162,0.12640483127095842,1.5151339
7499,50.29541779,-63.80291748,82,14397087744.0,0,308.36823,1084,-0.162,0.12640483127095842,1.5151339
7504,50.26791763,-59.97291565,18,2973177600.0,0,85.64213,1140,-0.129,0.13284122310587934,1.18755
7505,50.47208405,-59.60458374,114,19401172992.0,0,453.0403,1143,-0.125,0.13349387954414613,1.413996
7515,50.36875153,1.606250763,10,1124133504.0,0,9.538866,1623,0.054000000000000006,0.2546742830113971,7.025084
7516,50.21624756,1.6312503809999999,13,6212487168.0,0,1.168126,1626,0.054000000000000006,0.25469244501674865,7.1708226
7546,50.04291534,-125.25875090000001,21,1771462912.0,0,99.74131,143,0.428,0.14184429793930076,3.6755192
7563,50.23125076,-61.07875061,32,3664032768.0,2200,95.86641,1121,-0.129,0.13284122310587934,1.18755
7564,50.24541473,-60.82791138,15,1537640704.0,0,32.077065,1128,-0.129,0.13284122310587934,1.18755
7565,50.24124908,-60.63624573,44,5524532224.0,0,139.9855,1133,-0.129,0.13284122310587934,1.18755
7577,50.19041443,1.632917404,13,6212487168.0,0,47.0271,1624,0.054000000000000006,0.25469244501674865,7.1708226
7607,49.8670845,-124.5604172,21,1249068928.0,0,44.86571,148,0.435,0.13826927073521292,2.673142
7631,49.93291473,1.084583282,10,1016930560.0,2204,6.9886355,1620,0.057999999999999996,0.23802977971560982,6.9652047
7665,49.70124817,-123.18291470000001,42,3863930880.0,0,189.66618,176,0.444,0.13547223894595398,3.4280465
7687,49.47791672,0.46875,10,2328526336.0,0,0.23937428,1614,0.05,0.22621185262938318,5.993665
7706,49.34208298,143.58874509999998,10,1105400448.0,0,3.1911652,3721,0.28600000000000003,0.1162913653548655,0.8733577
7722,49.13708496,-68.37708282,245,45658066944.0,0,387.13803,994,-0.18,0.13629549053257653,2.9681149
7725,49.3129158,-67.63458252,22,1928500864.0,0,34.666805,1023,-0.18,0.13625831634296826,2.6124318
7742,49.25374985,-54.49624634,38,5220366848.0,2213,144.68478,1206,-0.157,0.1347552686478159,0.8630212
7747,49.35874939,-1.17124939,10,1950313088.0,0,10.218462,1571,0.042,0.17322946732091105,4.9210377
7748,49.3429184,-1.115415573,10,1950313088.0,0,14.443187,1586,0.042,0.17322946732091105,4.9210377
7751,49.26708221,-0.246250153,10,2944612864.0,2213,23.543135,1605,0.053,0.20180073709426943,5.8002706
7752,49.3670845,0.075416565,10,1275036928.0,0,8.924821,1610,0.053,0.21614410368345352,5.9143047
7753,49.43875122,0.376251221,10,2328526336.0,0,16.550323,1615,0.052000000000000005,0.22323627371112503,5.834558
7754,49.48374939,0.51125145,94,73356566528.0,2210,532.9886,1617,0.05,0.22621185262938318,5.993665
7772,49.28874969,140.37292480000002,69,21722286080.0,0,8.289208,3628,0.373,0.10898349934292272,0.6544285
7773,49.26958466,140.30792240000002,69,21722286080.0,4426,327.0625,3641,0.373,0.10898349934292272,0.6544285
7774,49.44958496,142.1279144,10,1001365696.0,0,17.36993,3686,0.342,0.11248365245748594,0.6919109
7775,49.27375031,143.14874269999999,41,7155726336.0,4426,128.5733,3707,0.28600000000000003,0.1162913653548655,0.8733577
7776,49.41291809,143.32041930000003,10,1043076032.0,0,15.308589,3712,0.28600000000000003,0.1162913653548655,0.8733577
7777,49.35708237,143.52458190000002,10,1105400448.0,2212,18.799057,3716,0.28600000000000003,0.1162913653548655,0.8733577
7783,49.24625015,-124.81874850000001,17,1424802304.0,0,74.143974,147,0.43799999999999994,0.13686727580990035,2.673142
7787,49.15625,-122.96875,455,231000000000.0,8860,3946.0923,178,0.444,0.1259962210454146,3.4631062
7792,49.19208527,-68.32291412,245,45658066944.0,2214,966.639,1006,-0.18,0.13629549053257653,2.9681149
7799,49.24124908,-65.31375122,10,1253215872.0,0,25.992535,1058,-0.166,0.13217427241581692,1.8292941
7801,48.897918700000005,-64.58958435,13,1038790272.0,4961,11.8943815,1071,-0.166,0.13217427241581692,1.8292941
7816,49.29624939,-0.091249466,10,2944612864.0,2213,13.593593,1600,0.053,0.21168401004912157,5.9143047
7842,49.0945816,142.04208369999998,11,1280298240.0,2215,26.277388,3687,0.342,0.11248365245748594,0.6919109
7851,48.75875092,-123.63708500000001,11,1245047936.0,0,48.65328,173,0.44799999999999995,0.13194626699631787,3.3444512
7853,48.76791763,-122.59458159999998,17,2155011584.0,0,96.90074,179,0.442,0.12629132946345095,3.469726
7854,48.73541641,-69.06707764,26,2481300480.0,0,30.358664,982,-0.18,0.13682834243892775,3.106705
7857,48.94208527,-68.69708252,116,18968055808.0,0,364.93057,995,-0.18,0.13682834243892775,3.106705
7859,48.85374832,-67.53125,19,1684502656.0,0,26.88954,1024,-0.18,0.13659138093809972,2.6602008
7862,48.82958221,-64.57791138,13,1038790272.0,4439,23.173098,1072,-0.166,0.13217427241581692,1.8292941
7899,48.96624756,140.21374509999998,12,1925310464.0,4959,35.318993,3629,0.38799999999999996,0.10432383277825456,0.45656115
7909,48.64041519,-69.09291077,26,2481300480.0,0,41.734337,987,-0.18,0.13828355362192135,3.2369046
7910,48.63124847,-68.13208008,21,1814690816.0,4444,27.463778,1013,-0.18,0.13697550764501323,2.8407514
7911,48.78874969,-67.69624329,19,1684502656.0,2219,3.8782535,1016,-0.18,0.13659138093809972,2.6602008
7915,48.67208099,-54.00291443,19,1868203776.0,6664,56.45495,1208,-0.154,0.13400239582456638,0.8510694
7927,48.53791809,-1.9704170230000002,10,1019348992.0,0,7.1522894,1566,0.006999999999999999,0.16756207663586892,7.9270062
7928,48.63208389,-1.512916565,10,1113053696.0,2222,8.118834,1572,0.009000000000000001,0.17851675915118465,8.699138
7929,48.64875031,-1.392082214,10,1043253760.0,0,8.538781,1580,0.009000000000000001,0.18118003243089076,8.699138
7947,48.55208206,140.1587524,37,7330661376.0,2223,134.24269,3630,0.38799999999999996,0.10432383277825456,0.45656115
7956,48.36125183,-122.4729156,70,8195565568.0,0,418.57635,181,0.449,0.11263035454857738,3.4752908
7961,48.44625092,-68.53791809,19,1639070848.0,2224,25.749111,996,-0.18,0.13733197069866443,3.0558364
7962,48.12125015,-66.46708679,14,1164932352.0,0,5.843189,1041,-0.076,0.142154269338279,1.7581308
7963,48.164581299999995,-65.83708191,31,3137059328.0,0,20.463612,1047,-0.076,0.1375366248859851,1.5858113
7977,48.27541733,-4.277915955,10,1787412224.0,2226,23.929747,1523,0.002,0.14267066851583676,4.1489964
8005,48.19208527,-122.36458590000002,20,1732467712.0,0,89.786026,182,0.449,0.10945142011708381,3.4752908
8006,48.02041626,-122.2079163,38,4546581504.0,0,229.78123,185,0.449,0.112309682858131,3.4752908
8007,48.14041519,-69.76708221,365,87688806400.0,0,1652.7814,973,-0.18,0.13829717991226292,3.4705274
8011,48.11208344,-66.29541016,14,1164932352.0,0,20.1827,1043,-0.076,0.142154269338279,1.7581308
8013,48.21291733,-65.89958191,31,3137059328.0,0,50.93603,1048,-0.076,0.1375366248859851,1.5858113
8014,48.04124832,-65.47374725,28,2380391424.0,2230,49.606514,1059,-0.076,0.1375366248859851,1.5858113
8042,47.91875076,-124.63874820000001,13,1614407424.0,0,82.03479,149,0.434,0.1143811034749008,2.6066437
8044,47.74791718,-124.43291470000001,10,1170233088.0,0,40.447662,161,0.434,0.1143811034749008,2.6066437
8049,47.84124756,-69.55207825,13,1077072000.0,0,14.194582,979,-0.18,0.13273820447461857,2.7423167
8050,47.98958206,-66.75708008,82,11946916864.0,0,223.85916,1037,-0.076,0.142154269338279,1.7581308
8061,47.80208206,-56.01791382,26,2820266752.0,6316,90.05428,1197,-0.122,0.12025377437754323,1.4108527
8072,47.76458359,-3.3020820619999998,10,2057187456.0,0,20.316751,1537,0.013999999999999999,0.1357472347300969,3.235461
