couple_id,rivmth_idx,cmf_col_15min,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,cmf_row_15min,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
124,5125,165,0.0,59.125,-138.625,142.0,123,29446045696.0,-139.6289,59.427080000000004,66661.26094179142,1146,diva_id__675,-138.572921753,59.1654167175,0.403,-138.572921753,59.1654167175
125,2374,166,1966.0,69.125,-138.375,14.0,83,4939740672.0,-139.043,69.66145999999999,53390.11394080553,6222,diva_id__5754,-138.451248169,69.2287521362,0.059,-138.451248169,69.2287521362
126,2495,168,1969.0,68.875,-137.875,10.0,84,2484451584.0,-137.4023,69.03645999999999,10786.869846044227,4729,diva_id__4261,-137.282073975,68.9495849609,0.069,-137.282073975,68.9495849609
127,2496,171,3940.0,68.875,-137.125,14.0,84,3647770880.0,-137.4023,69.03645999999999,16912.78010035705,4729,diva_id__4261,-137.105407715,68.9279174805,0.069,-137.105407715,68.9279174805
128,2499,176,0.0,68.875,-135.875,13.0,84,3425319424.0,-135.7617,69.40104000000001,65790.20770912245,6223,diva_id__5755,-135.777084351,68.8095855713,0.062,-135.777084351,68.8095855713
129,2253,183,0.0,69.375,-134.125,30.0,82,8054550528.0,-133.0664,69.50520999999999,52349.42999008138,4736,diva_id__4268,-134.20208740200002,69.2570800781,0.031,-134.20208740200002,69.2570800781
130,5866,195,0.0,56.125,-131.125,45.0,135,2463469312.0,-131.6016,55.59896,61899.67911119176,1460,diva_id__989,-131.087081909,56.074584960900005,0.423,-131.087081909,56.074584960900005
131,5926,196,2126.0,55.875,-130.875,30.0,136,1672464384.0,-131.597,55.59234,49967.741142656196,6262,diva_id__5794,-130.91624450700002,55.8262481689,0.423,-130.91624450700002,55.8262481689
132,2264,197,4392.0,69.375,-130.625,10.0,82,2364505344.0,-131.1914,69.97395999999999,60207.9845247638,4732,diva_id__4264,-130.58291626,69.4754180908,0.009,-130.58291626,69.4754180908
133,2379,198,4394.0,69.125,-130.375,10.0,83,2364505344.0,-131.1914,69.97395999999999,66184.20888765917,4732,diva_id__4264,-130.627075195,69.4120864868,0.009,-130.627075195,69.4120864868
