index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
2281,10208,0.000000,40.875000,38.875000,38.847660,40.989580,13517,1784,diva_id__1313,38.995419,41.037918,-0.076000,38.995419,41.037918
2287,19841,0.000000,-5.125000,38.875000,39.111330,-5.130208,10305,2908,diva_id__2437,39.072918,-5.214584,0.676000,39.072918,-5.214584
2307,19751,0.000000,-4.375000,39.375000,39.462890,-4.505208,21765,2911,diva_id__2440,39.297916,-4.611252,0.679000,39.297916,-4.611252
2317,19693,0.000000,-3.875000,39.625000,39.697270,-4.036458,2330,2910,diva_id__2439,39.677917,-4.044586,0.700000,39.677917,-4.044586
2328,10305,2323.000000,40.625000,40.125000,39.755860,41.015630,43667,1782,diva_id__1311,40.267086,40.943748,-0.076000,40.267086,40.943748
2329,19430,0.000000,-2.625000,40.125000,40.283200,-2.630208,8362,2914,diva_id__2443,40.345417,-2.587917,0.704000,40.345417,-2.587917
2332,20789,0.000000,-14.125000,40.125000,40.634770,-14.088540,12592,2881,diva_id__2410,40.538750,-14.152916,0.815000,40.538750,-14.152916
2333,20913,2576.000000,-15.375000,40.125000,40.576170,-15.130210,10093,2875,diva_id__2404,40.502918,-15.187084,0.834000,40.502918,-15.187084
2338,10306,0.000000,40.625000,40.375000,40.722660,41.197920,43005,1780,diva_id__1309,40.307919,40.970417,-0.076000,40.307919,40.970417
2347,20768,2584.000000,-13.875000,40.375000,40.517580,-13.515620,19393,16549,deltas_359,40.538750,-13.688751,0.817000,40.538750,-13.688751
2350,15931,0.000000,20.375000,40.625000,40.224610,20.182290,24340,3007,diva_id__2536,40.411251,20.051250,0.598000,40.411251,20.051250
2352,19329,2620.000000,-2.125000,40.625000,40.927730,-2.317707,19158,197,lamu,40.755417,-2.312916,0.710000,40.755417,-2.312916
2369,17106,0.000000,14.125000,41.125000,41.748050,13.932290,37164,2962,diva_id__2491,41.521252,14.183750,0.581000,41.521252,14.183750
2372,16145,0.000000,19.625000,41.375000,40.810550,19.713540,30882,772,diva_id__301,40.962086,19.475416,0.613000,40.962086,19.475416
2379,9715,0.000000,42.625000,41.875000,41.513670,42.578130,1927,1761,diva_id__1290,41.512085,42.595417,-0.076000,41.512085,42.595417
2384,16561,0.000000,18.125000,42.125000,41.923830,17.786460,8873,3011,diva_id__2540,41.972084,17.721251,0.644000,41.972084,17.721251
2393,16675,0.000000,17.375000,42.875000,42.509770,17.005210,3801,3012,diva_id__2541,42.502918,17.038750,0.637000,42.502918,17.038750
2413,3690,0.000000,65.625000,43.625000,44.003910,66.119790,18756,4135,diva_id__3667,44.087086,65.954582,-0.070000,44.087086,65.954582
2440,21419,0.000000,-20.625000,44.375000,44.267580,-20.286460,26826,10179,diva_id__9711,44.134583,-20.492916,0.923000,44.134583,-20.492916
2443,17804,2600.000000,10.125000,44.625000,44.560550,10.468750,10316,2947,diva_id__2476,44.579586,10.377916,0.596000,44.579586,10.377916
2444,21329,0.000000,-19.625000,44.625000,44.443360,-19.713540,19032,16569,deltas_388,44.472084,-19.544586,0.938000,44.472084,-19.544586
2455,17216,2586.000000,13.375000,45.875000,45.849610,13.359380,11937,3032,diva_id__2561,45.739586,13.367083,0.571000,45.739586,13.367083
2465,21011,0.000000,-16.125000,46.625000,46.318360,-15.755210,23336,10173,diva_id__9705,46.457085,-15.917084,0.986000,46.457085,-15.917084
2466,21910,0.000000,-25.125000,46.625000,46.464840,-25.156250,3376,2290,diva_id__1819,46.497086,-25.164585,0.783000,46.497086,-25.164585
2469,21779,2509.000000,-24.125000,47.125000,47.607420,-23.828120,44193,10199,diva_id__9731,47.392918,-24.173752,0.905000,47.392918,-24.173752
2470,20918,0.000000,-15.375000,47.375000,47.197270,-15.442710,1593,16553,deltas_363,47.212086,-15.443752,0.977000,47.212086,-15.443752
2478,13279,0.000000,29.125000,47.875000,47.900390,29.348960,7360,3104,diva_id__2633,47.828751,29.327084,0.497000,47.828751,29.327084
2497,21347,0.000000,-19.875000,48.625000,48.896480,-19.609370,16224,10214,diva_id__9746,48.836250,-19.743752,0.993000,48.836250,-19.743752
2509,20692,0.000000,-12.625000,49.125000,48.779300,-13.255210,52202,10195,diva_id__9727,48.940418,-12.812920,0.921000,48.940418,-12.812920
2510,20712,0.000000,-12.875000,49.125000,48.779300,-13.255210,44594,10195,diva_id__9727,48.946251,-12.888752,0.921000,48.946251,-12.888752
2513,12822,0.000000,30.625000,49.375000,49.072270,30.390630,15325,3108,diva_id__2637,49.207085,30.464584,0.619000,49.207085,30.464584
2515,17594,2596.000000,11.125000,49.375000,49.160160,11.302080,2132,2938,diva_id__2467,49.160419,11.282917,0.527000,49.160419,11.282917
2538,20758,2586.000000,-13.625000,49.875000,49.980470,-13.281250,18942,10198,diva_id__9730,50.012085,-13.448750,0.946000,50.012085,-13.448750
2557,13130,0.000000,29.625000,50.875000,50.537110,29.557290,31139,3109,diva_id__2638,50.667084,29.301250,0.505000,50.667084,29.301250
2564,17468,2593.000000,11.875000,51.125000,50.566410,11.953130,30820,2935,diva_id__2464,50.849583,11.947916,0.561000,50.849583,11.947916
2568,16962,0.000000,15.625000,51.625000,51.503910,15.260420,24439,3045,diva_id__2574,51.668751,15.412083,0.565000,51.668751,15.412083
2570,1134,3879.000000,71.875000,51.875000,51.679690,71.484380,66406,10051,diva_id__9583,52.302086,72.048752,-0.176000,52.302086,72.048752
2577,14928,2511.000000,23.875000,52.375000,52.177730,23.984380,3563,3088,diva_id__2617,52.203751,23.962917,0.520000,52.203751,23.962917
2584,1235,1944.000000,71.625000,52.875000,52.675780,71.223960,41649,10056,diva_id__9588,52.616253,71.597916,-0.166000,52.616253,71.597916
2589,14931,0.000000,23.875000,53.875000,53.818360,24.244790,21719,652,diva_id__181,53.965416,24.102917,0.505000,53.965416,24.102917
2593,14030,0.000000,26.875000,54.375000,54.638670,26.536460,36951,3116,diva_id__2645,54.322086,26.710417,0.511000,54.322086,26.710417
2598,14099,0.000000,26.625000,54.625000,54.638670,26.536460,31992,3116,diva_id__2645,54.352085,26.667084,0.511000,54.352085,26.667084
2602,2931,7913.000000,68.125000,55.125000,54.316410,68.463540,45134,4128,diva_id__3660,54.844585,68.107918,-0.074000,54.844585,68.107918
