id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea,rivhgt,elevtn
1766,817,0.000000,70.473747,70.375000,24.283751,24.375000,10.000000,78,1206.050659,2.000000,0.000000
1774,833,0.000000,70.427917,70.375000,28.258751,28.375000,88.530609,78,18720.142578,2.493518,0.000000
1781,989,7049.256847,70.424583,70.375000,67.317085,67.375000,39.519985,78,7827.861328,2.000000,0.000000
1782,1009,7825.626527,70.291252,70.375000,72.372917,72.375000,14.056806,78,1753.630127,2.000000,0.000000
1793,1054,0.000000,70.347916,70.375000,83.549583,83.625000,39.466797,78,4274.931641,2.000000,0.000000
1797,70,1958.524107,70.073753,70.125000,-162.343750,-162.375000,24.088776,79,7477.776367,2.000000,0.000000
1801,128,2767.695629,70.232086,70.125000,-147.831253,-147.875000,31.663746,79,13283.324219,2.000000,0.000000
1802,129,1957.381809,70.198753,70.125000,-147.648743,-147.625000,10.000000,79,1528.853271,2.000000,0.000000
1803,130,1957.544693,70.177086,70.125000,-147.323746,-147.375000,10.000000,79,4167.618164,2.000000,0.000000
1808,135,1957.870762,70.147919,70.125000,-146.015411,-146.125000,10.227202,79,5309.511719,2.000000,0.000000
1809,137,1958.687697,70.053749,70.125000,-145.582916,-145.625000,10.000000,79,1383.265869,2.000000,0.000000
1811,142,1959.015166,70.023750,70.125000,-144.403748,-144.375000,10.000000,79,1858.768311,2.000000,0.000000
1812,143,0.000000,70.027916,70.125000,-144.031250,-144.125000,10.000000,79,3184.898682,2.000000,0.000000
1815,146,1958.360622,70.097916,70.125000,-143.294586,-143.375000,10.000000,79,2413.693115,2.000000,0.000000
1833,268,0.000000,70.231247,70.125000,-112.986252,-112.875000,10.000000,79,2300.255371,2.000000,0.000000
1842,350,0.000000,70.146248,70.125000,-92.422081,-92.375000,13.285398,79,3539.126709,2.000000,0.000000
1860,393,0.000000,70.142082,70.125000,-81.725418,-81.625000,18.971716,79,2333.082031,2.000000,0.000000
1866,401,2765.631475,70.367081,70.125000,-79.595413,-79.625000,12.087029,79,1361.926270,2.000000,0.000000
1871,433,0.000000,70.041252,70.125000,-71.521248,-71.625000,10.457740,79,1238.025146,2.000000,0.000000
1894,817,0.000000,70.183746,70.125000,24.953751,24.375000,10.000000,79,1082.233765,2.000000,0.000000
1895,819,0.000000,70.075417,70.125000,24.962917,24.875000,12.073405,79,1601.311035,2.000000,0.000000
1913,1010,5537.233489,70.166252,70.125000,72.543747,72.625000,24.758625,79,3757.646729,2.000000,0.000000
1920,1359,0.000000,70.106247,70.125000,159.966248,159.875000,42.987434,79,17590.330078,2.000000,0.000000
1928,68,0.000000,69.762917,69.875000,-162.998749,-162.875000,21.841444,80,5941.374512,2.000000,0.000000
1935,149,1960.823424,69.839584,69.875000,-142.152924,-142.625000,10.000000,80,1622.861572,2.000000,0.000000
1937,151,1961.153486,69.811249,69.875000,-142.057083,-142.125000,10.000000,80,1708.510254,2.000000,0.000000
1938,152,1961.318671,69.790421,69.875000,-141.912918,-141.875000,10.000000,80,3835.072510,2.000000,0.000000
1975,335,5879.999989,69.925415,69.875000,-96.042915,-96.125000,10.000000,80,1046.100586,2.000000,0.000000
1979,349,0.000000,70.058746,69.875000,-92.463745,-92.625000,10.000000,80,1471.480225,2.000000,0.000000
2000,412,5878.029129,69.989586,69.875000,-76.982918,-76.875000,28.722914,80,8875.334961,2.000000,0.000000
2002,438,0.000000,69.846252,69.875000,-70.458748,-70.375000,19.074396,80,2430.608154,2.000000,0.000000
2018,803,1961.483948,69.782913,69.875000,20.994583,20.875000,26.818289,80,2653.976318,2.000000,0.000000
2024,813,0.000000,69.972916,69.875000,23.386251,23.375000,45.828167,80,7539.837402,2.000000,0.000000
